,Accuracy,Accuracy_p-value,Amount of data,Amount of data_p-value,Availability,Availability_p-value,Believability,Believability_p-value,Completeness,Completeness_p-value,Conciseness,Conciseness_p-value,Consistency,Consistency_p-value,Currency,Currency_p-value,Interlinking,Interlinking_p-value,Interpretability,Interpretability_p-value,Licensing,Licensing_p-value,Performance,Performance_p-value,Rep. Conciseness,Rep. Conciseness_p-value,Interoperability,Interoperability_p-value,Reputation,Reputation_p-value,Security,Security_p-value,Understandability,Understandability_p-value,Verifiability,Verifiability_p-value,Versatility,Versatility_p-value,Timeliness,Timeliness_p-value
Accuracy,1.0,***,0.45,***,-0.03,,0.08,,0.07,,0.48,***,0.68,***,0.41,***,0.23,**,0.64,***,0.26,**,0.07,,0.35,***,-0.06,,0.25,**,0.05,,0.54,***,0.23,**,0.07,,0.52,***
Amount of data,0.45,***,1.0,***,-0.1,,-0.01,,0.01,,0.25,**,0.62,***,0.39,***,0.39,***,0.64,***,0.17,*,-0.14,,0.12,,-0.48,***,0.32,***,0.15,,0.61,***,0.42,***,0.07,,0.45,***
Availability,-0.03,,-0.1,,1.0,***,0.17,*,0.23,**,-0.04,,-0.23,**,-0.06,,0.07,,-0.02,,0.09,,0.1,,0.27,**,0.29,***,-0.06,,-0.2,*,-0.12,,-0.07,,0.41,***,-0.23,**
Believability,0.08,,-0.01,,0.17,*,1.0,***,0.06,,0.23,**,0.16,,0.23,**,0.1,,0.06,,0.27,**,0.19,*,0.28,***,-0.01,,0.34,***,-0.08,,0.2,*,0.37,***,-0.02,,0.08,
Completeness,0.07,,0.01,,0.23,**,0.06,,1.0,***,0.0,,-0.05,,0.12,,0.28,***,-0.02,,0.19,*,-0.05,,0.03,,0.14,,0.3,***,0.01,,0.1,,0.11,,0.23,**,-0.27,**
Conciseness,0.48,***,0.25,**,-0.04,,0.23,**,0.0,,1.0,***,0.64,***,0.34,***,0.05,,0.39,***,0.45,***,-0.0,,0.13,,-0.17,*,0.39,***,0.02,,0.29,***,0.21,*,0.0,,0.34,***
Consistency,0.68,***,0.62,***,-0.23,**,0.16,,-0.05,,0.64,***,1.0,***,0.58,***,0.33,***,0.64,***,0.42,***,0.05,,0.15,,-0.37,***,0.36,***,-0.03,,0.51,***,0.46,***,-0.11,,0.66,***
Currency,0.41,***,0.39,***,-0.06,,0.23,**,0.12,,0.34,***,0.58,***,1.0,***,0.34,***,0.47,***,0.27,**,0.03,,0.18,*,-0.09,,0.22,**,-0.08,,0.49,***,0.57,***,0.01,,0.35,***
Interlinking,0.23,**,0.39,***,0.07,,0.1,,0.28,***,0.05,,0.33,***,0.34,***,1.0,***,0.33,***,0.26,**,0.03,,0.12,,-0.04,,0.09,,-0.03,,0.22,**,0.48,***,0.24,**,0.31,***
Interpretability,0.64,***,0.64,***,-0.02,,0.06,,-0.02,,0.39,***,0.64,***,0.47,***,0.33,***,1.0,***,0.26,**,0.06,,0.48,***,-0.19,*,0.22,**,0.11,,0.59,***,0.31,***,0.18,*,0.57,***
Licensing,0.26,**,0.17,*,0.09,,0.27,**,0.19,*,0.45,***,0.42,***,0.27,**,0.26,**,0.26,**,1.0,***,0.28,***,0.28,***,-0.05,,0.31,***,-0.25,**,0.08,,0.46,***,0.03,,0.2,*
Performance,0.07,,-0.14,,0.1,,0.19,*,-0.05,,-0.0,,0.05,,0.03,,0.03,,0.06,,0.28,***,1.0,***,0.22,*,0.2,*,-0.14,,-0.42,***,-0.15,,0.24,**,0.08,,0.13,
Rep. Conciseness,0.35,***,0.12,,0.27,**,0.28,***,0.03,,0.13,,0.15,,0.18,*,0.12,,0.48,***,0.28,***,0.22,*,1.0,***,0.17,*,0.03,,0.02,,0.38,***,0.19,*,0.34,***,0.15,
Interoperability,-0.06,,-0.48,***,0.29,***,-0.01,,0.14,,-0.17,*,-0.37,***,-0.09,,-0.04,,-0.19,*,-0.05,,0.2,*,0.17,*,1.0,***,-0.3,***,-0.11,,-0.26,**,-0.34,***,0.11,,-0.42,***
Reputation,0.25,**,0.32,***,-0.06,,0.34,***,0.3,***,0.39,***,0.36,***,0.22,**,0.09,,0.22,**,0.31,***,-0.14,,0.03,,-0.3,***,1.0,***,0.23,**,0.4,***,0.3,***,-0.04,,0.09,
Security,0.05,,0.15,,-0.2,*,-0.08,,0.01,,0.02,,-0.03,,-0.08,,-0.03,,0.11,,-0.25,**,-0.42,***,0.02,,-0.11,,0.23,**,1.0,***,0.36,***,-0.06,,0.08,,-0.08,
Understandability,0.54,***,0.61,***,-0.12,,0.2,*,0.1,,0.29,***,0.51,***,0.49,***,0.22,**,0.59,***,0.08,,-0.15,,0.38,***,-0.26,**,0.4,***,0.36,***,1.0,***,0.45,***,0.19,*,0.34,***
Verifiability,0.23,**,0.42,***,-0.07,,0.37,***,0.11,,0.21,*,0.46,***,0.57,***,0.48,***,0.31,***,0.46,***,0.24,**,0.19,*,-0.34,***,0.3,***,-0.06,,0.45,***,1.0,***,0.18,*,0.46,***
Versatility,0.07,,0.07,,0.41,***,-0.02,,0.23,**,0.0,,-0.11,,0.01,,0.24,**,0.18,*,0.03,,0.08,,0.34,***,0.11,,-0.04,,0.08,,0.19,*,0.18,*,1.0,***,0.14,
Timeliness,0.52,***,0.45,***,-0.23,**,0.08,,-0.27,**,0.34,***,0.66,***,0.35,***,0.31,***,0.57,***,0.2,*,0.13,,0.15,,-0.42,***,0.09,,-0.08,,0.34,***,0.46,***,0.14,,1.0,***
