,Accuracy,Accuracy_p-value,Amount of data,Amount of data_p-value,Availability,Availability_p-value,Believability,Believability_p-value,Completeness,Completeness_p-value,Conciseness,Conciseness_p-value,Consistency,Consistency_p-value,Currency,Currency_p-value,Interlinking,Interlinking_p-value,Interpretability,Interpretability_p-value,Licensing,Licensing_p-value,Performance,Performance_p-value,Rep. Conciseness,Rep. Conciseness_p-value,Interoperability,Interoperability_p-value,Reputation,Reputation_p-value,Security,Security_p-value,Understandability,Understandability_p-value,Verifiability,Verifiability_p-value,Versatility,Versatility_p-value,Timeliness,Timeliness_p-value
Accuracy,1.0,***,0.47,***,0.0,,0.22,*,0.12,,0.57,***,0.65,***,0.39,***,0.24,*,0.68,***,0.15,,0.02,,0.24,*,-0.25,*,0.44,***,0.06,,0.49,***,0.21,*,0.04,,0.59,***
Amount of data,0.47,***,1.0,***,-0.11,,0.14,,-0.03,,0.27,**,0.62,***,0.34,***,0.23,*,0.63,***,0.14,,-0.11,,0.07,,-0.63,***,0.36,***,0.15,,0.59,***,0.4,***,-0.05,,0.45,***
Availability,0.0,,-0.11,,1.0,***,0.21,*,0.23,*,-0.1,,-0.23,*,0.01,,0.05,,0.04,,0.11,,0.17,,0.31,**,0.35,***,-0.03,,-0.2,*,-0.03,,-0.08,,0.54,***,-0.16,
Believability,0.22,*,0.14,,0.21,*,1.0,***,0.11,,0.25,*,0.25,**,0.41,***,0.34,***,0.25,**,0.39,***,0.35,***,0.4,***,-0.06,,0.3,**,-0.22,*,0.28,**,0.55,***,0.13,,0.2,*
Completeness,0.12,,-0.03,,0.23,*,0.11,,1.0,***,-0.0,,-0.17,,0.02,,0.24,*,0.07,,0.17,,0.02,,0.13,,0.17,,0.26,**,0.07,,0.03,,0.07,,0.23,*,-0.35,***
Conciseness,0.57,***,0.27,**,-0.1,,0.25,*,-0.0,,1.0,***,0.64,***,0.38,***,-0.04,,0.45,***,0.41,***,0.02,,0.16,,-0.25,*,0.41,***,0.04,,0.43,***,0.2,*,-0.13,,0.37,***
Consistency,0.65,***,0.62,***,-0.23,*,0.25,**,-0.17,,0.64,***,1.0,***,0.54,***,0.24,*,0.63,***,0.36,***,0.03,,0.07,,-0.51,***,0.43,***,0.01,,0.51,***,0.45,***,-0.19,,0.68,***
Currency,0.39,***,0.34,***,0.01,,0.41,***,0.02,,0.38,***,0.54,***,1.0,***,0.18,,0.55,***,0.32,***,0.16,,0.24,*,-0.21,*,0.28,**,-0.18,,0.48,***,0.53,***,-0.04,,0.35,***
Interlinking,0.24,*,0.23,*,0.05,,0.34,***,0.24,*,-0.04,,0.24,*,0.18,,1.0,***,0.27,**,0.18,,0.16,,0.11,,-0.1,,0.08,,-0.12,,0.02,,0.51,***,0.16,,0.27,**
Interpretability,0.68,***,0.63,***,0.04,,0.25,**,0.07,,0.45,***,0.63,***,0.55,***,0.27,**,1.0,***,0.11,,0.08,,0.39,***,-0.29,**,0.31,**,0.19,,0.55,***,0.3,**,0.13,,0.57,***
Licensing,0.15,,0.14,,0.11,,0.39,***,0.17,,0.41,***,0.36,***,0.32,***,0.18,,0.11,,1.0,***,0.23,*,0.13,,-0.08,,0.34,***,-0.29,**,0.13,,0.44,***,0.03,,0.14,
Performance,0.02,,-0.11,,0.17,,0.35,***,0.02,,0.02,,0.03,,0.16,,0.16,,0.08,,0.23,*,1.0,***,0.28,**,0.22,*,-0.08,,-0.38,***,-0.1,,0.35,***,0.26,**,0.15,
Rep. Conciseness,0.24,*,0.07,,0.31,**,0.4,***,0.13,,0.16,,0.07,,0.24,*,0.11,,0.39,***,0.13,,0.28,**,1.0,***,0.15,,0.01,,0.02,,0.32,***,0.12,,0.41,***,0.12,
Interoperability,-0.25,*,-0.63,***,0.35,***,-0.06,,0.17,,-0.25,*,-0.51,***,-0.21,*,-0.1,,-0.29,**,-0.08,,0.22,*,0.15,,1.0,***,-0.33,***,-0.09,,-0.39,***,-0.36,***,0.27,**,-0.49,***
Reputation,0.44,***,0.36,***,-0.03,,0.3,**,0.26,**,0.41,***,0.43,***,0.28,**,0.08,,0.31,**,0.34,***,-0.08,,0.01,,-0.33,***,1.0,***,0.23,*,0.46,***,0.35,***,-0.11,,0.09,
Security,0.06,,0.15,,-0.2,*,-0.22,*,0.07,,0.04,,0.01,,-0.18,,-0.12,,0.19,,-0.29,**,-0.38,***,0.02,,-0.09,,0.23,*,1.0,***,0.27,**,-0.14,,-0.01,,-0.09,
Understandability,0.49,***,0.59,***,-0.03,,0.28,**,0.03,,0.43,***,0.51,***,0.48,***,0.02,,0.55,***,0.13,,-0.1,,0.32,***,-0.39,***,0.46,***,0.27,**,1.0,***,0.34,***,0.09,,0.35,***
Verifiability,0.21,*,0.4,***,-0.08,,0.55,***,0.07,,0.2,*,0.45,***,0.53,***,0.51,***,0.3,**,0.44,***,0.35,***,0.12,,-0.36,***,0.35,***,-0.14,,0.34,***,1.0,***,0.12,,0.46,***
Versatility,0.04,,-0.05,,0.54,***,0.13,,0.23,*,-0.13,,-0.19,,-0.04,,0.16,,0.13,,0.03,,0.26,**,0.41,***,0.27,**,-0.11,,-0.01,,0.09,,0.12,,1.0,***,0.12,
Timeliness,0.59,***,0.45,***,-0.16,,0.2,*,-0.35,***,0.37,***,0.68,***,0.35,***,0.27,**,0.57,***,0.14,,0.15,,0.12,,-0.49,***,0.09,,-0.09,,0.35,***,0.46,***,0.12,,1.0,***
