,Accuracy,Accuracy_p-value,Amount of data,Amount of data_p-value,Availability,Availability_p-value,Believability,Believability_p-value,Completeness,Completeness_p-value,Conciseness,Conciseness_p-value,Consistency,Consistency_p-value,Currency,Currency_p-value,Interlinking,Interlinking_p-value,Interpretability,Interpretability_p-value,Licensing,Licensing_p-value,Performance,Performance_p-value,Rep. Conciseness,Rep. Conciseness_p-value,Interoperability,Interoperability_p-value,Reputation,Reputation_p-value,Security,Security_p-value,Understandability,Understandability_p-value,Verifiability,Verifiability_p-value,Versatility,Versatility_p-value,Timeliness,Timeliness_p-value
Accuracy,1.0,***,0.9,***,0.52,***,-0.03,,0.43,***,0.87,***,0.9,***,-0.86,***,0.95,***,0.93,***,0.19,***,0.95,***,0.93,***,0.87,***,0.04,,0.94,***,0.32,***,0.36,***,0.75,***,0.53,***
Amount of data,0.9,***,1.0,***,0.5,***,-0.03,,0.38,***,0.81,***,0.86,***,-0.81,***,0.87,***,0.83,***,0.2,***,0.9,***,0.82,***,0.83,***,0.06,*,0.9,***,0.3,***,0.33,***,0.7,***,0.57,***
Availability,0.52,***,0.5,***,1.0,***,-0.26,***,0.23,***,0.51,***,0.49,***,-0.48,***,0.5,***,0.48,***,-0.06,*,0.55,***,0.49,***,0.5,***,-0.13,***,0.55,***,0.08,***,0.07,**,0.42,***,0.29,***
Believability,-0.03,,-0.03,,-0.26,***,1.0,***,0.01,,0.01,,0.01,,-0.01,,-0.02,,0.01,,0.42,***,-0.02,,0.01,,-0.03,,0.31,***,-0.03,,0.06,*,0.44,***,-0.04,,0.02,
Completeness,0.43,***,0.38,***,0.23,***,0.01,,1.0,***,0.4,***,0.39,***,-0.44,***,0.42,***,0.46,***,0.1,***,0.41,***,0.44,***,0.38,***,0.11,***,0.4,***,0.13,***,0.16,***,0.32,***,-0.02,
Conciseness,0.87,***,0.81,***,0.51,***,0.01,,0.4,***,1.0,***,0.95,***,-0.88,***,0.82,***,0.93,***,0.2,***,0.93,***,0.92,***,0.85,***,0.09,***,0.92,***,0.3,***,0.38,***,0.67,***,0.55,***
Consistency,0.9,***,0.86,***,0.49,***,0.01,,0.39,***,0.95,***,1.0,***,-0.92,***,0.85,***,0.94,***,0.19,***,0.9,***,0.94,***,0.83,***,0.1,***,0.89,***,0.32,***,0.38,***,0.69,***,0.59,***
Currency,-0.86,***,-0.81,***,-0.48,***,-0.01,,-0.44,***,-0.88,***,-0.92,***,1.0,***,-0.82,***,-0.89,***,-0.17,***,-0.88,***,-0.88,***,-0.8,***,-0.09,***,-0.87,***,-0.32,***,-0.36,***,-0.7,***,-0.49,***
Interlinking,0.95,***,0.87,***,0.5,***,-0.02,,0.42,***,0.82,***,0.85,***,-0.82,***,1.0,***,0.88,***,0.19,***,0.9,***,0.88,***,0.82,***,0.05,*,0.9,***,0.31,***,0.35,***,0.72,***,0.56,***
Interpretability,0.93,***,0.83,***,0.48,***,0.01,,0.46,***,0.93,***,0.94,***,-0.89,***,0.88,***,1.0,***,0.19,***,0.89,***,0.99,***,0.81,***,0.09,***,0.88,***,0.32,***,0.38,***,0.68,***,0.57,***
Licensing,0.19,***,0.2,***,-0.06,*,0.42,***,0.1,***,0.2,***,0.19,***,-0.17,***,0.19,***,0.19,***,1.0,***,0.2,***,0.19,***,0.19,***,0.07,**,0.2,***,-0.05,*,0.63,***,0.17,***,0.13,***
Performance,0.95,***,0.9,***,0.55,***,-0.02,,0.41,***,0.93,***,0.9,***,-0.88,***,0.9,***,0.89,***,0.2,***,1.0,***,0.89,***,0.92,***,0.05,*,0.99,***,0.31,***,0.37,***,0.75,***,0.52,***
Rep. Conciseness,0.93,***,0.82,***,0.49,***,0.01,,0.44,***,0.92,***,0.94,***,-0.88,***,0.88,***,0.99,***,0.19,***,0.89,***,1.0,***,0.81,***,0.08,***,0.87,***,0.33,***,0.38,***,0.69,***,0.57,***
Interoperability,0.87,***,0.83,***,0.5,***,-0.03,,0.38,***,0.85,***,0.83,***,-0.8,***,0.82,***,0.81,***,0.19,***,0.92,***,0.81,***,1.0,***,0.04,,0.92,***,0.34,***,0.4,***,0.83,***,0.45,***
Reputation,0.04,,0.06,*,-0.13,***,0.31,***,0.11,***,0.09,***,0.1,***,-0.09,***,0.05,*,0.09,***,0.07,**,0.05,*,0.08,***,0.04,,1.0,***,0.04,,0.26,***,0.22,***,0.06,**,0.09,***
Security,0.94,***,0.9,***,0.55,***,-0.03,,0.4,***,0.92,***,0.89,***,-0.87,***,0.9,***,0.88,***,0.2,***,0.99,***,0.87,***,0.92,***,0.04,,1.0,***,0.3,***,0.37,***,0.75,***,0.52,***
Understandability,0.32,***,0.3,***,0.08,***,0.06,*,0.13,***,0.3,***,0.32,***,-0.32,***,0.31,***,0.32,***,-0.05,*,0.31,***,0.33,***,0.34,***,0.26,***,0.3,***,1.0,***,0.1,***,0.35,***,0.24,***
Verifiability,0.36,***,0.33,***,0.07,**,0.44,***,0.16,***,0.38,***,0.38,***,-0.36,***,0.35,***,0.38,***,0.63,***,0.37,***,0.38,***,0.4,***,0.22,***,0.37,***,0.1,***,1.0,***,0.4,***,0.26,***
Versatility,0.75,***,0.7,***,0.42,***,-0.04,,0.32,***,0.67,***,0.69,***,-0.7,***,0.72,***,0.68,***,0.17,***,0.75,***,0.69,***,0.83,***,0.06,**,0.75,***,0.35,***,0.4,***,1.0,***,0.51,***
Timeliness,0.53,***,0.57,***,0.29,***,0.02,,-0.02,,0.55,***,0.59,***,-0.49,***,0.56,***,0.57,***,0.13,***,0.52,***,0.57,***,0.45,***,0.09,***,0.52,***,0.24,***,0.26,***,0.51,***,1.0,***
