,Number of triples,Number of triples_p-value,Number of triples (metadata),Number of triples (metadata)_p-value,Accuracy,Accuracy_p-value,Age of data,Age of data_p-value,Amount of data,Amount of data_p-value,Author (metadata),Author (metadata)_p-value,Availability for download (metadata),Availability for download (metadata)_p-value,Availability for download (query),Availability for download (query)_p-value,Availability of RDF dump (metadata),Availability of RDF dump (metadata)_p-value,Availability of RDF dump (query),Availability of RDF dump (query)_p-value,Availability,Availability_p-value,Believability,Believability_p-value,Clustering coefficient,Clustering coefficient_p-value,Completeness,Completeness_p-value,Conciseness,Conciseness_p-value,Consistency,Consistency_p-value,Currency,Currency_p-value,Degree of connection,Degree of connection_p-value,Deprecated classes/properties used,Deprecated classes/properties used_p-value,Entities as member of disjoint class,Entities as member of disjoint class_p-value,Functional properties with inconsistent values,Functional properties with inconsistent values_p-value,Inactive links,Inactive links_p-value,Interlinking completeness,Interlinking completeness_p-value,Interlinking,Interlinking_p-value,Interpretability,Interpretability_p-value,Invalid usage of inverse-functional properties,Invalid usage of inverse-functional properties_p-value,Is on a trusted provider list,Is on a trusted provider list_p-value,Languages (query),Languages (query)_p-value,License human redeable,License human redeable_p-value,License machine redeable (metadata),License machine redeable (metadata)_p-value,Licensing,Licensing_p-value,Limited,Limited_p-value,Max length URIs (object),Max length URIs (object)_p-value,Max length URIs (predicate),Max length URIs (predicate)_p-value,Max length URIs (subject),Max length URIs (subject)_p-value,MaxTPNoOff,MaxTPNoOff_p-value,Maximum throughput,Maximum throughput_p-value,Min length URIs (object),Min length URIs (object)_p-value,Min length URIs (predicate),Min length URIs (predicate)_p-value,Min length URIs (subject),Min length URIs (subject)_p-value,MinTPNoOff,MinTPNoOff_p-value,Minimum throughput,Minimum throughput_p-value,Modification date,Modification date_p-value,Normalized,Normalized_p-value,Number of blank nodes,Number of blank nodes_p-value,Number of entities,Number of entities_p-value,Number of labels/comments present on the data,Number of labels/comments present on the data_p-value,Number of property,Number of property_p-value,Number of samAs chains,Number of samAs chains_p-value,Number of triples (query),Number of triples (query)_p-value,Number of triples linked,Number of triples linked_p-value,Number of triples updated,Number of triples updated_p-value,Ontology Hijacking problem,Ontology Hijacking problem_p-value,Performance,Performance_p-value,Presence of example,Presence of example_p-value,Rep. Conciseness,Rep. Conciseness_p-value,Interoperability,Interoperability_p-value,Reputation,Reputation_p-value,Requires authentication,Requires authentication_p-value,Score,Score_p-value,Security,Security_p-value,Signed,Signed_p-value,Sparql endpoint,Sparql endpoint_p-value,Time elapsed since last modification,Time elapsed since last modification_p-value,Triples with empty annotation problem,Triples with empty annotation problem_p-value,Triples with malformed data type literals problem,Triples with malformed data type literals problem_p-value,Triples with misplaced class problem,Triples with misplaced class problem_p-value,Triples with misplaced property problem,Triples with misplaced property problem_p-value,Triples with white space in annotation(at the beginning or at the end),Triples with white space in annotation(at the beginning or at the end)_p-value,URIs Deferenceability,URIs Deferenceability_p-value,Undefined class used without declaration,Undefined class used without declaration_p-value,Undefined properties used without declaration,Undefined properties used without declaration_p-value,Understandability,Understandability_p-value,Use HTTPS,Use HTTPS_p-value,Use RDF structures,Use RDF structures_p-value,Uses RDF structures,Uses RDF structures_p-value,Verifiability,Verifiability_p-value,Versatility,Versatility_p-value,Timeliness,Timeliness_p-value
Limited,0.55,***,0.39,***,0.15,,0.36,**,0.08,,,,-0.09,,0.16,,-0.09,,0.16,,-0.27,**,0.16,,,,-0.26,**,0.1,,0.35,***,0.06,,0.13,,-0.24,*,,,,,0.12,,-0.28,**,0.11,,0.13,,,,0.16,,,,0.31,*,,,0.07,,1.0,***,0.08,,0.38,***,0.33,***,-0.09,,-0.08,,-0.33,***,-0.46,***,-0.03,,-0.09,,-0.05,,,,0.25,*,0.4,***,0.55,**,0.49,***,0.47,***,0.46,***,0.55,***,0.16,,0.27,**,,,-0.08,,0.14,,0.12,,-0.26,**,0.15,,,,0.25,*,-0.02,,,,,,0.04,,,,0.36,***,,,-0.23,*,0.13,,-0.25,**,-0.08,,0.41,***,0.12,,-0.02,,0.33,***,0.33,***,0.19,,-0.26,**,0.32,***
Max length URIs (object),0.01,,-0.07,,-0.32,***,0.14,,0.08,,,,-0.23,*,-0.04,,-0.23,*,-0.04,,0.11,,0.03,,,,0.14,,-0.14,,-0.03,,0.15,,-0.16,,-0.13,,0.27,,,,-0.13,,0.11,,0.37,***,0.11,,,,0.14,,,,0.28,*,,,0.14,,0.08,,1.0,***,0.37,***,0.43,***,0.13,,0.12,,-0.15,,-0.22,*,-0.35,***,0.13,,0.1,,,,0.2,*,0.13,,-0.68,***,-0.19,*,0.16,,-0.0,,0.01,,-0.23,*,-0.0,,,,0.21,*,0.0,,0.16,,-0.01,,-0.16,,,,0.2,*,-0.08,,,,,,-0.32,**,,,-0.18,*,,,-0.23,*,-0.55,***,0.26,**,-0.07,,-0.31,**,0.0,,-0.08,,0.04,,0.04,,0.33,***,0.27,**,0.11,
Max length URIs (predicate),0.57,***,0.15,,-0.19,,0.43,***,0.07,,,,-0.22,*,0.28,**,-0.22,*,0.28,**,-0.29,**,0.19,,,,-0.09,,0.07,,0.45,***,0.22,*,-0.11,,-0.35,**,1.0,***,,,-0.04,,-0.11,,0.32,**,0.14,,,,0.27,,,,0.49,***,,,0.24,*,0.38,***,0.37,***,1.0,***,0.52,***,-0.14,,-0.14,,-0.56,***,-0.51,***,-0.28,**,-0.18,,-0.17,,,,0.37,***,0.6,***,0.41,,0.51,***,0.64,***,0.49,***,0.57,***,0.0,,0.48,***,,,0.11,,-0.03,,0.04,,-0.44,***,0.06,,,,0.37,***,-0.13,,,,,,0.08,,,,0.19,,,,-0.61,***,-0.23,*,-0.35,***,0.25,*,0.06,,0.05,,-0.13,,0.5,***,0.5,***,0.46,***,-0.05,,0.46,***
Max length URIs (subject),0.38,***,0.12,,0.01,,0.41,***,0.31,***,,,-0.24,**,0.22,*,-0.24,**,0.22,*,-0.24,**,0.05,,,,0.02,,-0.01,,0.4,***,0.32,***,0.03,,-0.47,***,-0.02,,,,0.04,,0.01,,0.25,**,0.27,**,,,0.34,*,,,0.39,**,,,0.11,,0.33,***,0.43,***,0.52,***,1.0,***,-0.17,,-0.18,,-0.48,***,-0.45,***,-0.32,***,-0.16,,-0.13,,,,0.34,***,0.32,***,-0.26,,0.38,***,0.64,***,0.24,**,0.38,***,-0.01,,0.15,,,,-0.06,,-0.01,,0.04,,-0.35,***,0.03,,,,0.34,***,-0.15,,,,,,0.04,,,,0.09,,,,-0.31,**,-0.11,,-0.09,,0.18,,0.13,,0.17,,-0.16,,0.33,***,0.33,***,0.38,***,-0.12,,0.38,***
MaxTPNoOff,0.0,,0.1,,0.06,,0.07,,-0.13,,,,-0.17,*,-0.06,,-0.17,*,-0.06,,0.03,,0.2,*,,,-0.02,,-0.04,,-0.02,,-0.01,,0.0,,0.18,,-0.21,,,,-0.04,,-0.01,,-0.07,,0.05,,,,0.02,,,,0.15,,,,0.23,**,-0.09,,0.13,,-0.14,,-0.17,,1.0,***,0.97,***,0.04,,-0.02,,-0.15,,0.93,***,0.9,***,,,0.19,*,0.04,,-0.52,**,-0.0,,0.0,,0.02,,0.0,,-0.02,,-0.07,,,,0.84,***,0.04,,0.26,**,0.18,*,-0.02,,,,0.19,*,-0.2,*,,,,,-0.39,***,,,-0.06,,,,-0.03,,0.02,,0.07,,0.19,,-0.29,**,-0.09,,-0.2,*,-0.13,,-0.13,,0.19,*,0.14,,0.03,
Maximum throughput,0.02,,0.11,,0.09,,0.08,,-0.09,,,,-0.15,,-0.05,,-0.15,,-0.05,,0.05,,0.19,*,,,-0.03,,-0.02,,0.01,,0.01,,0.01,,0.16,,-0.27,,,,-0.05,,-0.02,,-0.05,,0.08,,,,0.02,,,,0.17,,,,0.23,**,-0.08,,0.12,,-0.14,,-0.18,,0.97,***,1.0,***,0.02,,-0.02,,-0.15,,0.94,***,0.91,***,,,0.22,**,0.05,,-0.5,**,0.01,,-0.01,,0.02,,0.02,,-0.03,,-0.04,,,,0.83,***,0.05,,0.27,**,0.17,*,-0.03,,,,0.23,**,-0.21,*,,,,,-0.39,***,,,-0.03,,,,-0.02,,0.01,,0.05,,0.18,,-0.27,**,-0.07,,-0.21,*,-0.12,,-0.12,,0.2,*,0.16,,0.07,
Min length URIs (object),-0.52,***,-0.0,,-0.08,,-0.27,*,-0.31,***,,,0.16,,-0.2,*,0.16,,-0.2,*,0.3,***,-0.01,,,,0.26,**,-0.22,*,-0.53,***,-0.34,***,0.1,,0.38,***,0.79,***,,,-0.1,,0.29,**,-0.09,,-0.34,***,,,-0.02,,,,-0.59,***,,,-0.18,*,-0.33,***,-0.15,,-0.56,***,-0.48,***,0.04,,0.02,,1.0,***,0.46,***,0.54,***,0.01,,-0.01,,,,-0.52,***,-0.47,***,0.06,,-0.5,***,-0.26,**,-0.35,***,-0.52,***,0.11,,-0.63,***,,,0.01,,-0.0,,-0.04,,0.28,**,0.09,,,,-0.52,***,0.07,,,,,,-0.05,,,,-0.19,*,,,0.19,*,0.12,,0.26,**,-0.36,***,-0.31,***,-0.14,,0.07,,-0.65,***,-0.65,***,-0.21,*,0.15,,-0.47,***
Min length URIs (predicate),-0.68,***,-0.14,,-0.08,,-0.71,***,-0.1,,,,0.36,***,-0.09,,0.36,***,-0.09,,0.34,***,0.01,,,,0.17,,-0.15,,-0.39,***,-0.29,**,0.25,*,0.56,***,-1.0,***,,,0.05,,0.19,,-0.25,*,-0.26,*,,,0.03,,,,-0.33,*,,,0.04,,-0.46,***,-0.22,*,-0.51,***,-0.45,***,-0.02,,-0.02,,0.46,***,1.0,***,0.46,***,-0.0,,-0.0,,,,-0.41,***,-0.5,***,-0.07,,-0.72,***,-0.56,***,-0.47,***,-0.68,***,0.16,,-0.1,,,,-0.22,*,-0.02,,0.03,,0.36,***,0.12,,,,-0.42,***,0.18,,,,,,0.25,*,,,-0.26,*,,,0.43,***,-0.12,,0.2,,-0.17,,-0.33,**,-0.15,,0.18,,-0.44,***,-0.44,***,-0.31,**,-0.08,,-0.59,***
Min length URIs (subject),-0.34,***,0.12,,0.25,**,-0.34,**,-0.03,,,,0.25,**,0.04,,0.25,**,0.04,,0.15,,0.13,,,,0.14,,-0.05,,-0.12,,-0.16,,0.27,**,0.23,*,0.5,*,,,-0.05,,0.12,,-0.15,,-0.07,,,,0.15,,,,-0.28,*,,,0.05,,-0.03,,-0.35,***,-0.28,**,-0.32,***,-0.15,,-0.15,,0.54,***,0.46,***,1.0,***,-0.14,,-0.13,,,,-0.21,*,-0.43,***,0.09,,-0.2,*,-0.06,,-0.11,,-0.34,***,0.28,**,-0.26,**,,,-0.21,*,0.1,,0.13,,0.08,,0.23,*,,,-0.21,*,0.15,,,,,,0.27,*,,,0.06,,,,0.32,***,0.26,**,-0.04,,-0.16,,-0.05,,0.09,,0.16,,-0.42,***,-0.42,***,-0.13,,-0.07,,-0.3,***
MinTPNoOff,0.03,,0.14,,0.18,*,0.13,,0.02,,,,-0.2,*,-0.11,,-0.2,*,-0.11,,0.07,,0.12,,,,-0.0,,0.05,,0.09,,0.03,,0.06,,0.08,,-0.4,,,,-0.07,,0.0,,-0.05,,0.15,,,,-0.08,,,,0.19,,,,0.27,**,-0.09,,0.13,,-0.18,,-0.16,,0.93,***,0.94,***,0.01,,-0.0,,-0.14,,1.0,***,0.96,***,,,0.3,***,0.05,,-0.58,***,0.03,,-0.01,,-0.03,,0.03,,0.0,,-0.02,,,,0.8,***,-0.02,,0.26,**,0.13,,-0.01,,,,0.3,***,-0.25,**,,,,,-0.52,***,,,-0.05,,,,0.08,,-0.01,,0.06,,0.22,*,-0.25,**,-0.07,,-0.25,**,-0.11,,-0.11,,0.22,*,0.18,*,0.14,
