,Accuracy,Accuracy_p-value,Amount of data,Amount of data_p-value,Availability,Availability_p-value,Believability,Believability_p-value,Completeness,Completeness_p-value,Conciseness,Conciseness_p-value,Consistency,Consistency_p-value,Currency,Currency_p-value,Interlinking,Interlinking_p-value,Interpretability,Interpretability_p-value,Licensing,Licensing_p-value,Performance,Performance_p-value,Rep. Conciseness,Rep. Conciseness_p-value,Interoperability,Interoperability_p-value,Reputation,Reputation_p-value,Security,Security_p-value,Understandability,Understandability_p-value,Verifiability,Verifiability_p-value,Versatility,Versatility_p-value,Timeliness,Timeliness_p-value
Accuracy,1.0,***,0.3,**,0.06,,-0.09,,0.14,,0.11,,0.33,***,-0.18,,0.36,***,0.42,***,0.17,,0.13,,0.47,***,0.01,,-0.04,,0.11,,0.38,***,0.13,,0.27,**,0.26,**
Amount of data,0.3,**,1.0,***,0.07,,-0.12,,-0.06,,0.09,,0.43,***,-0.07,,0.14,,0.46,***,0.25,**,-0.1,,0.13,,-0.15,,0.05,,-0.1,,0.26,**,0.15,,0.11,,0.38,***
Availability,0.06,,0.07,,1.0,***,0.17,,0.27,**,0.07,,-0.14,,-0.11,,0.1,,0.01,,0.23,*,0.13,,0.15,,0.06,,0.03,,-0.36,***,-0.08,,0.05,,0.49,***,-0.1,
Believability,-0.09,,-0.12,,0.17,,1.0,***,0.08,,0.2,*,0.14,,-0.27,**,0.37,***,0.11,,0.12,,0.13,,0.29,**,-0.02,,0.4,***,-0.09,,0.26,**,0.3,**,0.05,,0.1,
Completeness,0.14,,-0.06,,0.27,**,0.08,,1.0,***,-0.02,,-0.15,,-0.23,*,0.12,,0.08,,0.03,,0.14,,0.06,,0.17,,0.19,,-0.07,,-0.05,,0.17,,0.16,,-0.32,***
Conciseness,0.11,,0.09,,0.07,,0.2,*,-0.02,,1.0,***,0.63,***,-0.34,***,0.26,**,0.32,***,0.15,,0.07,,0.2,*,-0.22,*,0.43,***,-0.1,,0.25,**,0.19,*,-0.02,,0.33,***
Consistency,0.33,***,0.43,***,-0.14,,0.14,,-0.15,,0.63,***,1.0,***,-0.46,***,0.27,**,0.58,***,0.17,,0.01,,0.22,*,-0.38,***,0.4,***,-0.14,,0.68,***,0.32,***,-0.05,,0.62,***
Currency,-0.18,,-0.07,,-0.11,,-0.27,**,-0.23,*,-0.34,***,-0.46,***,1.0,***,-0.19,*,-0.4,***,0.03,,-0.11,,-0.15,,0.06,,-0.35,***,0.19,*,-0.51,***,-0.36,***,-0.2,*,-0.11,
Interlinking,0.36,***,0.14,,0.1,,0.37,***,0.12,,0.26,**,0.27,**,-0.19,*,1.0,***,0.44,***,0.36,***,0.07,,0.54,***,-0.18,,0.24,*,0.05,,0.37,***,0.45,***,0.34,***,0.36,***
Interpretability,0.42,***,0.46,***,0.01,,0.11,,0.08,,0.32,***,0.58,***,-0.4,***,0.44,***,1.0,***,0.05,,0.05,,0.51,***,-0.19,,0.28,**,0.13,,0.57,***,0.32,***,0.3,**,0.6,***
Licensing,0.17,,0.25,**,0.23,*,0.12,,0.03,,0.15,,0.17,,0.03,,0.36,***,0.05,,1.0,***,0.21,*,0.42,***,-0.02,,-0.12,,-0.08,,0.02,,0.31,***,0.24,*,0.19,*
Performance,0.13,,-0.1,,0.13,,0.13,,0.14,,0.07,,0.01,,-0.11,,0.07,,0.05,,0.21,*,1.0,***,0.38,***,0.2,*,-0.06,,-0.26,**,-0.08,,0.32,***,0.26,**,0.06,
Rep. Conciseness,0.47,***,0.13,,0.15,,0.29,**,0.06,,0.2,*,0.22,*,-0.15,,0.54,***,0.51,***,0.42,***,0.38,***,1.0,***,0.24,*,-0.07,,0.01,,0.2,*,0.37,***,0.28,**,0.31,**
Interoperability,0.01,,-0.15,,0.06,,-0.02,,0.17,,-0.22,*,-0.38,***,0.06,,-0.18,,-0.19,,-0.02,,0.2,*,0.24,*,1.0,***,-0.33,***,-0.01,,-0.45,***,-0.18,,-0.13,,-0.51,***
Reputation,-0.04,,0.05,,0.03,,0.4,***,0.19,,0.43,***,0.4,***,-0.35,***,0.24,*,0.28,**,-0.12,,-0.06,,-0.07,,-0.33,***,1.0,***,0.02,,0.46,***,0.24,*,-0.06,,0.2,*
Security,0.11,,-0.1,,-0.36,***,-0.09,,-0.07,,-0.1,,-0.14,,0.19,*,0.05,,0.13,,-0.08,,-0.26,**,0.01,,-0.01,,0.02,,1.0,***,0.13,,-0.04,,-0.09,,0.06,
Understandability,0.38,***,0.26,**,-0.08,,0.26,**,-0.05,,0.25,**,0.68,***,-0.51,***,0.37,***,0.57,***,0.02,,-0.08,,0.2,*,-0.45,***,0.46,***,0.13,,1.0,***,0.41,***,0.13,,0.57,***
Verifiability,0.13,,0.15,,0.05,,0.3,**,0.17,,0.19,*,0.32,***,-0.36,***,0.45,***,0.32,***,0.31,***,0.32,***,0.37,***,-0.18,,0.24,*,-0.04,,0.41,***,1.0,***,0.25,**,0.29,**
Versatility,0.27,**,0.11,,0.49,***,0.05,,0.16,,-0.02,,-0.05,,-0.2,*,0.34,***,0.3,**,0.24,*,0.26,**,0.28,**,-0.13,,-0.06,,-0.09,,0.13,,0.25,**,1.0,***,0.33,***
Timeliness,0.26,**,0.38,***,-0.1,,0.1,,-0.32,***,0.33,***,0.62,***,-0.11,,0.36,***,0.6,***,0.19,*,0.06,,0.31,**,-0.51,***,0.2,*,0.06,,0.57,***,0.29,**,0.33,***,1.0,***
