,Number of triples,Number of triples_p-value,Number of triples (metadata),Number of triples (metadata)_p-value,Accuracy,Accuracy_p-value,Age of data,Age of data_p-value,Amount of data,Amount of data_p-value,Author (metadata),Author (metadata)_p-value,Availability for download (metadata),Availability for download (metadata)_p-value,Availability for download (query),Availability for download (query)_p-value,Availability of RDF dump (metadata),Availability of RDF dump (metadata)_p-value,Availability of RDF dump (query),Availability of RDF dump (query)_p-value,Availability,Availability_p-value,Believability,Believability_p-value,Clustering coefficient,Clustering coefficient_p-value,Completeness,Completeness_p-value,Conciseness,Conciseness_p-value,Consistency,Consistency_p-value,Currency,Currency_p-value,Degree of connection,Degree of connection_p-value,Deprecated classes/properties used,Deprecated classes/properties used_p-value,Description,Description_p-value,Entities as member of disjoint class,Entities as member of disjoint class_p-value,Functional properties with inconsistent values,Functional properties with inconsistent values_p-value,Inactive links,Inactive links_p-value,Interlinking completeness,Interlinking completeness_p-value,Interlinking,Interlinking_p-value,Interpretability,Interpretability_p-value,Invalid usage of inverse-functional properties,Invalid usage of inverse-functional properties_p-value,Is on a trusted provider list,Is on a trusted provider list_p-value,Languages (query),Languages (query)_p-value,License human redeable,License human redeable_p-value,License machine redeable (metadata),License machine redeable (metadata)_p-value,Licensing,Licensing_p-value,Limited,Limited_p-value,Max length URIs (object),Max length URIs (object)_p-value,Max length URIs (predicate),Max length URIs (predicate)_p-value,Max length URIs (subject),Max length URIs (subject)_p-value,MaxTPNoOff,MaxTPNoOff_p-value,Maximum throughput,Maximum throughput_p-value,Min length URIs (object),Min length URIs (object)_p-value,Min length URIs (predicate),Min length URIs (predicate)_p-value,Min length URIs (subject),Min length URIs (subject)_p-value,MinTPNoOff,MinTPNoOff_p-value,Minimum throughput,Minimum throughput_p-value,Modification date,Modification date_p-value,Normalized,Normalized_p-value,Number of blank nodes,Number of blank nodes_p-value,Number of entities,Number of entities_p-value,Number of entities counted with regex,Number of entities counted with regex_p-value,Number of labels/comments present on the data,Number of labels/comments present on the data_p-value,Number of property,Number of property_p-value,Number of samAs chains,Number of samAs chains_p-value,Number of triples (query),Number of triples (query)_p-value,Number of triples linked,Number of triples linked_p-value,Number of triples updated,Number of triples updated_p-value,Ontology Hijacking problem,Ontology Hijacking problem_p-value,Performance,Performance_p-value,Presence of example,Presence of example_p-value,Rep. Conciseness,Rep. Conciseness_p-value,Interoperability,Interoperability_p-value,Reputation,Reputation_p-value,Requires authentication,Requires authentication_p-value,Score,Score_p-value,Security,Security_p-value,Signed,Signed_p-value,Sparql endpoint,Sparql endpoint_p-value,Time elapsed since last modification,Time elapsed since last modification_p-value,Triples with empty annotation problem,Triples with empty annotation problem_p-value,Triples with malformed data type literals problem,Triples with malformed data type literals problem_p-value,Triples with misplaced class problem,Triples with misplaced class problem_p-value,Triples with misplaced property problem,Triples with misplaced property problem_p-value,Triples with white space in annotation(at the beginning or at the end),Triples with white space in annotation(at the beginning or at the end)_p-value,URIs Deferenceability,URIs Deferenceability_p-value,Undefined class used without declaration,Undefined class used without declaration_p-value,Undefined properties used without declaration,Undefined properties used without declaration_p-value,Understandability,Understandability_p-value,Use HTTPS,Use HTTPS_p-value,Use RDF structures,Use RDF structures_p-value,Uses RDF structures,Uses RDF structures_p-value,Verifiability,Verifiability_p-value,Versatility,Versatility_p-value,Timeliness,Timeliness_p-value
Number of entities,0.52,***,0.34,*,0.11,,0.27,,0.15,,,,-0.25,,-0.26,,-0.25,,-0.26,,-0.25,,0.27,*,,,-0.39,**,0.47,***,0.49,***,-0.0,,0.35,*,-0.22,,,,0.34,*,,,0.15,,-0.39,**,-0.19,,0.11,,,,0.3,,,,0.28,,,,0.17,,0.58,***,0.09,,0.52,*,0.34,*,0.07,,0.05,,-0.29,*,-0.28,,-0.54,***,0.09,,0.06,,,,0.32,*,0.46,***,1.0,***,,,0.27,,0.45,**,0.73,***,0.4,**,0.19,,0.82,***,,,0.05,,-0.11,,0.19,,-0.13,,0.27,,,,0.33,*,-0.1,,,,-0.05,,-0.3,*,,,0.37,*,,,0.17,,0.1,,-0.27,,,,0.37,*,0.13,,-0.25,,0.58,***,0.58,***,-0.1,,-0.4,**,0.38,**
Number of entities counted with regex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of labels/comments present on the data,0.87,***,0.45,***,0.08,,0.49,***,0.05,,,,-0.2,*,0.07,,-0.2,*,0.07,,-0.19,*,0.55,***,,,-0.14,,0.03,,0.61,***,-0.21,**,0.58,***,-0.6,***,,,-0.46,**,,,0.05,,-0.16,*,0.35,***,0.56,***,,,0.25,*,,,0.53,***,,,0.06,,0.31,***,-0.47,***,0.39,***,-0.12,,-0.15,,-0.15,,-0.18,*,-0.66,***,0.35,***,-0.15,,-0.02,,,,0.51,***,0.14,,0.27,,,,1.0,***,0.71,***,0.73,***,0.87,***,0.34,***,-0.26,**,,,-0.26,**,0.22,**,-0.22,**,-0.52,***,0.53,***,,,0.5,***,0.32,***,,,,,-0.28,**,,,0.13,,,,-0.07,,0.74,***,-0.16,,0.08,,0.57,***,0.73,***,0.32,***,0.24,**,0.24,**,0.52,***,-0.38,***,0.69,***
Number of property,0.68,***,0.35,***,-0.02,,0.45,***,0.03,,,,-0.15,,0.17,*,-0.15,,0.17,*,0.01,,0.49,***,,,-0.09,,-0.11,,0.48,***,-0.1,,0.36,***,-0.54,***,,,0.62,***,,,-0.16,,-0.1,,0.28,***,0.28,**,,,0.33,**,,,0.54,***,,,0.31,***,0.3,***,-0.29,***,0.68,***,-0.02,,-0.16,,-0.18,*,-0.22,*,-0.56,***,0.4,***,-0.15,,-0.02,,,,0.48,***,0.26,**,0.45,**,,,0.71,***,1.0,***,0.72,***,0.68,***,0.28,**,-0.24,**,,,-0.15,,0.16,,-0.19,*,-0.45,***,0.4,***,,,0.48,***,0.09,,,,,,-0.28,**,,,0.01,,,,-0.3,***,0.48,***,-0.09,,0.22,*,0.25,**,0.51,***,0.1,,0.3,***,0.3,***,0.47,***,-0.25,**,0.46,***
Number of samAs chains,0.68,***,0.34,***,0.05,,0.31,***,0.07,,,,-0.13,,0.29,***,-0.13,,0.29,***,-0.0,,0.51,***,,,-0.04,,0.01,,0.36,***,-0.11,,0.43,***,-0.32,***,,,0.86,***,,,-0.02,,-0.05,,0.58,***,0.41,***,,,0.39,***,,,0.49,***,,,0.28,***,0.36,***,-0.19,*,0.42,***,-0.01,,-0.16,,-0.17,*,-0.19,*,-0.51,***,0.26,**,-0.2,*,-0.06,,,,0.47,***,0.31,***,0.73,***,,,0.73,***,0.72,***,1.0,***,0.68,***,0.34,***,0.06,,,,-0.16,*,0.18,*,-0.01,,-0.46,***,0.42,***,,,0.47,***,0.24,**,,,,,-0.09,,,,0.15,,,,-0.26,**,0.46,***,-0.14,,0.14,,0.27,***,0.52,***,0.24,**,0.24,**,0.24,**,0.53,***,-0.09,,0.47,***
Number of triples (query),1.0,***,0.46,***,-0.27,***,0.43,***,-0.01,,,,-0.2,*,0.04,,-0.2,*,0.04,,-0.29,***,0.45,***,,,-0.26,***,0.03,,0.48,***,0.03,,0.52,***,-0.5,***,,,-0.61,***,,,0.1,,-0.27,***,0.06,,0.31,***,,,0.22,*,,,0.51,***,,,0.11,,0.43,***,-0.3,***,0.27,**,-0.04,,-0.1,,-0.1,,-0.32,***,-0.57,***,0.2,*,-0.1,,0.01,,,,0.29,***,0.43,***,0.4,**,,,0.87,***,0.68,***,0.68,***,1.0,***,0.31,***,-0.03,,,,-0.19,*,0.13,,-0.28,***,-0.53,***,0.43,***,,,0.29,***,0.24,**,,,,,-0.22,*,,,0.25,**,,,-0.04,,0.56,***,-0.3,***,0.16,,0.61,***,0.4,***,0.24,**,0.36,***,0.36,***,0.38,***,-0.48,***,0.53,***
Number of triples linked,0.61,***,0.65,***,0.16,***,0.13,,0.18,***,,,0.19,***,-0.1,,0.19,***,-0.1,,-0.14,***,0.39,***,,,0.17,***,0.19,***,0.2,***,-0.19,***,0.28,***,-0.28,***,,,-0.27,,,,0.28,***,0.62,***,0.17,***,0.19,***,,,0.08,**,,,0.09,,,,0.29,***,0.18,*,-0.2,*,-0.0,,0.14,,0.01,,0.01,,-0.07,,0.18,*,0.16,,0.06,,0.05,,,,0.43,***,0.1,,0.19,,,,0.34,***,0.28,**,0.34,***,0.31,***,1.0,***,0.04,,,,0.17,***,0.2,***,0.19,***,0.17,***,0.77,***,,,0.42,***,0.17,***,,,0.31,***,0.11,,,,0.1,,,,0.27,**,0.24,**,-0.19,*,0.16,,0.14,,0.25,***,-0.04,,0.11,,0.11,,0.41,***,0.12,***,0.13,***
Number of triples updated,-0.03,,0.03,,0.07,,-0.52,***,0.37,***,,,-0.05,,-0.13,,-0.05,,-0.13,,-0.2,*,-0.26,**,,,-0.12,,0.34,***,0.01,,0.05,,-0.24,*,0.37,***,,,0.69,***,,,0.02,,-0.13,,-0.13,,0.02,,,,-0.06,,,,-0.06,,,,0.14,,0.29,**,0.21,*,0.22,*,0.27,**,0.12,,0.14,,-0.47,***,0.18,,-0.46,***,0.16,,0.08,,,,-0.04,,0.41,***,0.82,***,,,-0.26,**,-0.24,**,0.06,,-0.03,,0.04,,1.0,***,,,0.16,,-0.16,,0.48,***,0.12,,-0.09,,,,-0.04,,-0.34,***,,,,,0.25,*,,,0.34,***,,,-0.17,,-0.38,***,-0.33,***,0.28,**,-0.16,,-0.33,***,-0.34,***,0.44,***,0.44,***,-0.19,*,0.0,,-0.12,
Ontology Hijacking problem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance,0.41,***,0.19,***,0.96,***,-0.16,,0.9,***,,,0.28,***,0.08,,0.28,***,0.08,,0.51,***,-0.05,*,,,0.43,***,0.95,***,0.93,***,-0.91,***,-0.01,,0.32,***,,,0.48,**,,,-0.03,,-0.11,***,0.93,***,0.93,***,,,-0.11,***,,,0.12,,,,0.21,***,-0.14,,0.43,***,0.11,,0.23,**,0.82,***,0.81,***,-0.07,,0.1,,-0.45,***,0.78,***,0.74,***,,,0.49,***,0.22,**,0.05,,,,-0.26,**,-0.15,,-0.16,*,-0.19,*,0.17,***,0.16,,,,1.0,***,0.0,,0.93,***,0.93,***,0.08,**,,,0.49,***,0.99,***,,,0.96,***,-0.02,,,,-0.1,,,,-0.01,,-0.32,***,0.08,,0.22,*,-0.48,***,0.3,***,-0.48,***,0.02,,0.02,,0.43,***,0.66,***,0.52,***
