,Accuracy,Accuracy_p-value,Amount of data,Amount of data_p-value,Availability,Availability_p-value,Believability,Believability_p-value,Completeness,Completeness_p-value,Conciseness,Conciseness_p-value,Consistency,Consistency_p-value,Currency,Currency_p-value,Interlinking,Interlinking_p-value,Interpretability,Interpretability_p-value,Licensing,Licensing_p-value,Performance,Performance_p-value,Rep. Conciseness,Rep. Conciseness_p-value,Interoperability,Interoperability_p-value,Reputation,Reputation_p-value,Security,Security_p-value,Understandability,Understandability_p-value,Verifiability,Verifiability_p-value,Versatility,Versatility_p-value,Timeliness,Timeliness_p-value
Accuracy,1.0,***,0.93,***,0.52,***,-0.06,*,0.44,***,0.96,***,0.95,***,0.87,***,0.97,***,0.95,***,0.2,***,1.0,***,0.95,***,0.94,***,0.12,***,1.0,***,0.38,***,0.52,***,0.9,***,0.63,***
Amount of data,0.93,***,1.0,***,0.49,***,-0.07,*,0.39,***,0.88,***,0.89,***,0.84,***,0.91,***,0.89,***,0.19,***,0.92,***,0.88,***,0.88,***,0.11,***,0.93,***,0.38,***,0.5,***,0.87,***,0.65,***
Availability,0.52,***,0.49,***,1.0,***,-0.39,***,0.23,***,0.49,***,0.48,***,0.49,***,0.5,***,0.49,***,0.19,***,0.52,***,0.49,***,0.52,***,-0.08,**,0.51,***,0.17,***,0.11,***,0.52,***,0.31,***
Believability,-0.06,*,-0.07,*,-0.39,***,1.0,***,-0.02,,-0.05,,-0.04,,-0.03,,-0.05,*,-0.04,,0.07,**,-0.06,*,-0.04,,-0.06,*,0.44,***,-0.06,*,0.08,**,0.45,***,-0.05,,0.02,
Completeness,0.44,***,0.39,***,0.23,***,-0.02,,1.0,***,0.43,***,0.41,***,0.38,***,0.45,***,0.46,***,0.09,**,0.44,***,0.46,***,0.41,***,0.12,***,0.43,***,0.15,***,0.22,***,0.41,***,0.03,
Conciseness,0.96,***,0.88,***,0.49,***,-0.05,,0.43,***,1.0,***,0.98,***,0.89,***,0.92,***,0.97,***,0.2,***,0.96,***,0.97,***,0.9,***,0.14,***,0.95,***,0.37,***,0.5,***,0.86,***,0.63,***
Consistency,0.95,***,0.89,***,0.48,***,-0.04,,0.41,***,0.98,***,1.0,***,0.89,***,0.93,***,0.97,***,0.21,***,0.94,***,0.96,***,0.89,***,0.15,***,0.94,***,0.38,***,0.5,***,0.85,***,0.67,***
Currency,0.87,***,0.84,***,0.49,***,-0.03,,0.38,***,0.89,***,0.89,***,1.0,***,0.86,***,0.89,***,0.24,***,0.87,***,0.89,***,0.92,***,0.14,***,0.86,***,0.42,***,0.55,***,0.93,***,0.59,***
Interlinking,0.97,***,0.91,***,0.5,***,-0.05,*,0.45,***,0.92,***,0.93,***,0.86,***,1.0,***,0.95,***,0.19,***,0.97,***,0.95,***,0.92,***,0.12,***,0.97,***,0.38,***,0.5,***,0.88,***,0.63,***
Interpretability,0.95,***,0.89,***,0.49,***,-0.04,,0.46,***,0.97,***,0.97,***,0.89,***,0.95,***,1.0,***,0.2,***,0.95,***,1.0,***,0.89,***,0.14,***,0.94,***,0.38,***,0.5,***,0.86,***,0.66,***
Licensing,0.2,***,0.19,***,0.19,***,0.07,**,0.09,**,0.2,***,0.21,***,0.24,***,0.19,***,0.2,***,1.0,***,0.19,***,0.19,***,0.21,***,0.22,***,0.19,***,0.34,***,0.34,***,0.21,***,0.21,***
Performance,1.0,***,0.92,***,0.52,***,-0.06,*,0.44,***,0.96,***,0.94,***,0.87,***,0.97,***,0.95,***,0.19,***,1.0,***,0.95,***,0.95,***,0.11,***,1.0,***,0.38,***,0.52,***,0.9,***,0.6,***
Rep. Conciseness,0.95,***,0.88,***,0.49,***,-0.04,,0.46,***,0.97,***,0.96,***,0.89,***,0.95,***,1.0,***,0.19,***,0.95,***,1.0,***,0.9,***,0.13,***,0.94,***,0.37,***,0.5,***,0.86,***,0.62,***
Interoperability,0.94,***,0.88,***,0.52,***,-0.06,*,0.41,***,0.9,***,0.89,***,0.92,***,0.92,***,0.89,***,0.21,***,0.95,***,0.9,***,1.0,***,0.11,***,0.95,***,0.4,***,0.55,***,0.96,***,0.54,***
Reputation,0.12,***,0.11,***,-0.08,**,0.44,***,0.12,***,0.14,***,0.15,***,0.14,***,0.12,***,0.14,***,0.22,***,0.11,***,0.13,***,0.11,***,1.0,***,0.11,***,0.23,***,0.24,***,0.12,***,0.14,***
Security,1.0,***,0.93,***,0.51,***,-0.06,*,0.43,***,0.95,***,0.94,***,0.86,***,0.97,***,0.94,***,0.19,***,1.0,***,0.94,***,0.95,***,0.11,***,1.0,***,0.38,***,0.52,***,0.91,***,0.6,***
Understandability,0.38,***,0.38,***,0.17,***,0.08,**,0.15,***,0.37,***,0.38,***,0.42,***,0.38,***,0.38,***,0.34,***,0.38,***,0.37,***,0.4,***,0.23,***,0.38,***,1.0,***,0.33,***,0.42,***,0.33,***
Verifiability,0.52,***,0.5,***,0.11,***,0.45,***,0.22,***,0.5,***,0.5,***,0.55,***,0.5,***,0.5,***,0.34,***,0.52,***,0.5,***,0.55,***,0.24,***,0.52,***,0.33,***,1.0,***,0.56,***,0.34,***
Versatility,0.9,***,0.87,***,0.52,***,-0.05,,0.41,***,0.86,***,0.85,***,0.93,***,0.88,***,0.86,***,0.21,***,0.9,***,0.86,***,0.96,***,0.12,***,0.91,***,0.42,***,0.56,***,1.0,***,0.55,***
Timeliness,0.63,***,0.65,***,0.31,***,0.02,,0.03,,0.63,***,0.67,***,0.59,***,0.63,***,0.66,***,0.21,***,0.6,***,0.62,***,0.54,***,0.14,***,0.6,***,0.33,***,0.34,***,0.55,***,1.0,***
