,Accuracy,Accuracy_p-value,Amount of data,Amount of data_p-value,Availability,Availability_p-value,Believability,Believability_p-value,Completeness,Completeness_p-value,Conciseness,Conciseness_p-value,Consistency,Consistency_p-value,Currency,Currency_p-value,Interlinking,Interlinking_p-value,Interpretability,Interpretability_p-value,Licensing,Licensing_p-value,Performance,Performance_p-value,Rep. Conciseness,Rep. Conciseness_p-value,Interoperability,Interoperability_p-value,Reputation,Reputation_p-value,Security,Security_p-value,Understandability,Understandability_p-value,Verifiability,Verifiability_p-value,Versatility,Versatility_p-value,Timeliness,Timeliness_p-value
Accuracy,1.0,***,0.91,***,0.49,***,-0.05,*,0.44,***,0.92,***,0.93,***,-0.9,***,0.96,***,0.96,***,0.19,***,0.96,***,0.96,***,0.9,***,0.08,**,0.96,***,0.32,***,0.42,***,0.65,***,0.55,***
Amount of data,0.91,***,1.0,***,0.46,***,-0.06,**,0.42,***,0.87,***,0.88,***,-0.84,***,0.89,***,0.88,***,0.2,***,0.9,***,0.87,***,0.85,***,0.08,***,0.91,***,0.3,***,0.4,***,0.61,***,0.58,***
Availability,0.49,***,0.46,***,1.0,***,-0.29,***,0.24,***,0.48,***,0.47,***,-0.46,***,0.47,***,0.47,***,-0.1,***,0.51,***,0.47,***,0.48,***,-0.13,***,0.51,***,0.04,,0.04,,0.36,***,0.24,***
Believability,-0.05,*,-0.06,**,-0.29,***,1.0,***,-0.02,,-0.03,,-0.03,,0.03,,-0.05,*,-0.04,,0.47,***,-0.05,*,-0.04,,-0.05,*,0.3,***,-0.04,,0.06,**,0.46,***,-0.06,**,0.02,
Completeness,0.44,***,0.42,***,0.24,***,-0.02,,1.0,***,0.43,***,0.41,***,-0.47,***,0.44,***,0.46,***,0.09,***,0.43,***,0.46,***,0.42,***,0.1,***,0.43,***,0.12,***,0.19,***,0.37,***,0.03,
Conciseness,0.92,***,0.87,***,0.48,***,-0.03,,0.43,***,1.0,***,0.96,***,-0.9,***,0.88,***,0.95,***,0.2,***,0.95,***,0.94,***,0.89,***,0.1,***,0.95,***,0.3,***,0.44,***,0.61,***,0.56,***
Consistency,0.93,***,0.88,***,0.47,***,-0.03,,0.41,***,0.96,***,1.0,***,-0.93,***,0.9,***,0.96,***,0.2,***,0.93,***,0.95,***,0.87,***,0.11,***,0.92,***,0.31,***,0.43,***,0.59,***,0.59,***
Currency,-0.9,***,-0.84,***,-0.46,***,0.03,,-0.47,***,-0.9,***,-0.93,***,1.0,***,-0.87,***,-0.92,***,-0.18,***,-0.91,***,-0.92,***,-0.84,***,-0.11,***,-0.9,***,-0.31,***,-0.42,***,-0.61,***,-0.52,***
Interlinking,0.96,***,0.89,***,0.47,***,-0.05,*,0.44,***,0.88,***,0.9,***,-0.87,***,1.0,***,0.92,***,0.2,***,0.93,***,0.92,***,0.86,***,0.08,***,0.92,***,0.31,***,0.42,***,0.63,***,0.58,***
Interpretability,0.96,***,0.88,***,0.47,***,-0.04,,0.46,***,0.95,***,0.96,***,-0.92,***,0.92,***,1.0,***,0.19,***,0.93,***,0.99,***,0.87,***,0.09,***,0.92,***,0.32,***,0.43,***,0.6,***,0.59,***
Licensing,0.19,***,0.2,***,-0.1,***,0.47,***,0.09,***,0.2,***,0.2,***,-0.18,***,0.2,***,0.19,***,1.0,***,0.21,***,0.19,***,0.2,***,0.08,***,0.2,***,-0.02,,0.65,***,0.17,***,0.13,***
Performance,0.96,***,0.9,***,0.51,***,-0.05,*,0.43,***,0.95,***,0.93,***,-0.91,***,0.93,***,0.93,***,0.21,***,1.0,***,0.93,***,0.93,***,0.08,**,0.99,***,0.3,***,0.43,***,0.66,***,0.52,***
Rep. Conciseness,0.96,***,0.87,***,0.47,***,-0.04,,0.46,***,0.94,***,0.95,***,-0.92,***,0.92,***,0.99,***,0.19,***,0.93,***,1.0,***,0.86,***,0.09,***,0.91,***,0.32,***,0.43,***,0.62,***,0.56,***
Interoperability,0.9,***,0.85,***,0.48,***,-0.05,*,0.42,***,0.89,***,0.87,***,-0.84,***,0.86,***,0.87,***,0.2,***,0.93,***,0.86,***,1.0,***,0.07,**,0.94,***,0.33,***,0.46,***,0.75,***,0.47,***
Reputation,0.08,**,0.08,***,-0.13,***,0.3,***,0.1,***,0.1,***,0.11,***,-0.11,***,0.08,***,0.09,***,0.08,***,0.08,**,0.09,***,0.07,**,1.0,***,0.08,***,0.27,***,0.22,***,0.02,,0.12,***
Security,0.96,***,0.91,***,0.51,***,-0.04,,0.43,***,0.95,***,0.92,***,-0.9,***,0.92,***,0.92,***,0.2,***,0.99,***,0.91,***,0.94,***,0.08,***,1.0,***,0.31,***,0.43,***,0.66,***,0.54,***
Understandability,0.32,***,0.3,***,0.04,,0.06,**,0.12,***,0.3,***,0.31,***,-0.31,***,0.31,***,0.32,***,-0.02,,0.3,***,0.32,***,0.33,***,0.27,***,0.31,***,1.0,***,0.14,***,0.26,***,0.26,***
Verifiability,0.42,***,0.4,***,0.04,,0.46,***,0.19,***,0.44,***,0.43,***,-0.42,***,0.42,***,0.43,***,0.65,***,0.43,***,0.43,***,0.46,***,0.22,***,0.43,***,0.14,***,1.0,***,0.4,***,0.28,***
