,Accuracy,Accuracy_p-value,Amount of data,Amount of data_p-value,Availability,Availability_p-value,Believability,Believability_p-value,Completeness,Completeness_p-value,Conciseness,Conciseness_p-value,Consistency,Consistency_p-value,Currency,Currency_p-value,Interlinking,Interlinking_p-value,Interpretability,Interpretability_p-value,Licensing,Licensing_p-value,Performance,Performance_p-value,Rep. Conciseness,Rep. Conciseness_p-value,Interoperability,Interoperability_p-value,Reputation,Reputation_p-value,Security,Security_p-value,Understandability,Understandability_p-value,Verifiability,Verifiability_p-value,Versatility,Versatility_p-value,Timeliness,Timeliness_p-value
Accuracy,1.0,***,0.91,***,0.56,***,-0.08,**,0.43,***,0.9,***,0.91,***,-0.89,***,0.89,***,0.93,***,0.2,***,0.97,***,0.93,***,0.89,***,0.06,**,0.96,***,0.33,***,0.37,***,0.78,***,0.54,***
Amount of data,0.91,***,1.0,***,0.53,***,-0.08,***,0.37,***,0.84,***,0.86,***,-0.84,***,0.84,***,0.86,***,0.19,***,0.91,***,0.84,***,0.84,***,0.07,**,0.91,***,0.31,***,0.35,***,0.75,***,0.56,***
Availability,0.56,***,0.53,***,1.0,***,-0.28,***,0.24,***,0.54,***,0.52,***,-0.52,***,0.5,***,0.52,***,-0.07,**,0.57,***,0.52,***,0.53,***,-0.12,***,0.58,***,0.09,***,0.07,**,0.46,***,0.3,***
Believability,-0.08,**,-0.08,***,-0.28,***,1.0,***,-0.03,,-0.05,*,-0.04,,0.04,,-0.04,,-0.04,,0.44,***,-0.07,**,-0.04,,-0.08,***,0.32,***,-0.07,**,0.04,,0.46,***,-0.09,***,0.02,
Completeness,0.43,***,0.37,***,0.24,***,-0.03,,1.0,***,0.42,***,0.38,***,-0.45,***,0.39,***,0.44,***,0.09,***,0.42,***,0.45,***,0.38,***,0.1,***,0.41,***,0.12,***,0.15,***,0.34,***,0.03,
Conciseness,0.9,***,0.84,***,0.54,***,-0.05,*,0.42,***,1.0,***,0.95,***,-0.91,***,0.87,***,0.94,***,0.19,***,0.94,***,0.94,***,0.87,***,0.1,***,0.93,***,0.3,***,0.39,***,0.72,***,0.55,***
Consistency,0.91,***,0.86,***,0.52,***,-0.04,,0.38,***,0.95,***,1.0,***,-0.92,***,0.91,***,0.94,***,0.18,***,0.91,***,0.94,***,0.84,***,0.11,***,0.89,***,0.32,***,0.38,***,0.72,***,0.59,***
Currency,-0.89,***,-0.84,***,-0.52,***,0.04,,-0.45,***,-0.91,***,-0.92,***,1.0,***,-0.88,***,-0.92,***,-0.17,***,-0.9,***,-0.91,***,-0.84,***,-0.1,***,-0.89,***,-0.32,***,-0.37,***,-0.74,***,-0.49,***
Interlinking,0.89,***,0.84,***,0.5,***,-0.04,,0.39,***,0.87,***,0.91,***,-0.88,***,1.0,***,0.92,***,0.18,***,0.86,***,0.92,***,0.8,***,0.1,***,0.86,***,0.33,***,0.38,***,0.72,***,0.6,***
Interpretability,0.93,***,0.86,***,0.52,***,-0.04,,0.44,***,0.94,***,0.94,***,-0.92,***,0.92,***,1.0,***,0.19,***,0.91,***,0.99,***,0.85,***,0.11,***,0.9,***,0.33,***,0.39,***,0.74,***,0.59,***
Licensing,0.2,***,0.19,***,-0.07,**,0.44,***,0.09,***,0.19,***,0.18,***,-0.17,***,0.18,***,0.19,***,1.0,***,0.2,***,0.19,***,0.19,***,0.07,**,0.2,***,-0.04,,0.64,***,0.17,***,0.12,***
Performance,0.97,***,0.91,***,0.57,***,-0.07,**,0.42,***,0.94,***,0.91,***,-0.9,***,0.86,***,0.91,***,0.2,***,1.0,***,0.91,***,0.92,***,0.06,**,0.99,***,0.31,***,0.38,***,0.79,***,0.51,***
Rep. Conciseness,0.93,***,0.84,***,0.52,***,-0.04,,0.45,***,0.94,***,0.94,***,-0.91,***,0.92,***,0.99,***,0.19,***,0.91,***,1.0,***,0.84,***,0.09,***,0.89,***,0.32,***,0.38,***,0.74,***,0.56,***
Interoperability,0.89,***,0.84,***,0.53,***,-0.08,***,0.38,***,0.87,***,0.84,***,-0.84,***,0.8,***,0.85,***,0.19,***,0.92,***,0.84,***,1.0,***,0.06,*,0.92,***,0.34,***,0.42,***,0.85,***,0.45,***
Reputation,0.06,**,0.07,**,-0.12,***,0.32,***,0.1,***,0.1,***,0.11,***,-0.1,***,0.1,***,0.11,***,0.07,**,0.06,**,0.09,***,0.06,*,1.0,***,0.06,**,0.27,***,0.22,***,0.06,**,0.12,***
Security,0.96,***,0.91,***,0.58,***,-0.07,**,0.41,***,0.93,***,0.89,***,-0.89,***,0.86,***,0.9,***,0.2,***,0.99,***,0.89,***,0.92,***,0.06,**,1.0,***,0.31,***,0.38,***,0.79,***,0.52,***
Understandability,0.33,***,0.31,***,0.09,***,0.04,,0.12,***,0.3,***,0.32,***,-0.32,***,0.33,***,0.33,***,-0.04,,0.31,***,0.32,***,0.34,***,0.27,***,0.31,***,1.0,***,0.12,***,0.32,***,0.27,***
Verifiability,0.37,***,0.35,***,0.07,**,0.46,***,0.15,***,0.39,***,0.38,***,-0.37,***,0.38,***,0.39,***,0.64,***,0.38,***,0.38,***,0.42,***,0.22,***,0.38,***,0.12,***,1.0,***,0.41,***,0.28,***
Versatility,0.78,***,0.75,***,0.46,***,-0.09,***,0.34,***,0.72,***,0.72,***,-0.74,***,0.72,***,0.74,***,0.17,***,0.79,***,0.74,***,0.85,***,0.06,**,0.79,***,0.32,***,0.41,***,1.0,***,0.51,***
Timeliness,0.54,***,0.56,***,0.3,***,0.02,,0.03,,0.55,***,0.59,***,-0.49,***,0.6,***,0.59,***,0.12,***,0.51,***,0.56,***,0.45,***,0.12,***,0.52,***,0.27,***,0.28,***,0.51,***,1.0,***
